sgRNA	Gene	ctr	exp
Dhx34_5	Dhx34	2439	2138
Notch4_1	Notch4	6569	5539
Ube2t_4	Ube2t	256	364
Cul3_3	Cul3	1729	1556
Lbx1_3	Lbx1	3786	2957
Ptpn13_2	Ptpn13	5243	3989
Suv39h2_3	Suv39h2	2120	1768
Dsp_3	Dsp	6235	4932
Hoxb9_3	Hoxb9	3146	2737
Ncoa2_4	Ncoa2	2943	2534
Man1a2_4	Man1a2	4010	2956
Eya1_3	Eya1	9885	8004
Nr5a1_1	Nr5a1	16075	12808
Camkk2_3	Camkk2	4307	3397
Efnb1_1	Efnb1	6916	5501
Tle2_3	Tle2	4727	3845
Rtn4_1	Rtn4	4448	3678
Iqcb1_2	Iqcb1	6572	5769
Egln1_4	Egln1	4585	4114
Src_1	Src	7138	6205
Btbd3_1	Btbd3	5970	4695
Tab1_4	Tab1	5070	4272
Tlr7_4	Tlr7	8094	6949
Ldhal6b_2	Ldhal6b	11988	10245
Nkx6-2_4	Nkx6-2	3527	3168
Cptp_2	Cptp	4375	3996
Abat_1	Abat	2098	1793
Rock2_3	Rock2	5225	5252
Rangrf_1	Rangrf	1621	1307
Flna_3	Flna	4489	3558
Hist1h1e_4	Hist1h1e	3439	2788
Zbtb20_2	Zbtb20	6899	6189
Lrguk_2	Lrguk	1447	1121
Senp3_4	Senp3	2423	2027
Aurkc_3	Aurkc	1327	945
Tox4_2	Tox4	3438	2765
Nfatc2ip_4	Nfatc2ip	262	373
Ino80c_3	Ino80c	1476	1376
Kcnq4_3	Kcnq4	2441	2267
4933402J07Rik_1	4933402J07Rik	6401	5199
Rprd2_1	Rprd2	2660	1928
Nufip1_3	Nufip1	1199	952
S100a16_1	S100a16	2363	1860
Aldh1b1_2	Aldh1b1	3069	2656
Src_5	Src	4887	4053
Tigd3_2	Tigd3	5849	4542
Trpv1_3	Trpv1	7751	5897
Tsc22d4_3	Tsc22d4	9414	7842
Emd_4	Emd	5509	4451
Pcdh18_4	Pcdh18	3277	2708
Anapc5_1	Anapc5	1348	1326
Strap_3	Strap	1674	1446
Vgll3_3	Vgll3	4495	3960
Brca2_2	Brca2	4100	3612
Abcc8_3	Abcc8	6228	5087
Mkl1_2	Mkl1	6443	5189
S1pr1_2	S1pr1	6352	5159
Pnkd_5	Pnkd	5364	4552
Tnnc1_4	Tnnc1	9266	7922
Tnnc1_3	Tnnc1	9266	7922
Osgep_1	Osgep	8745	7271
Impdh1_3	Impdh1	6499	4653
Fam209_2	Fam209	109	123
Fam98a_1	Fam98a	1286	966
Gtf3a_1	Gtf3a	2458	2342
Gbx2_2	Gbx2	1316	1113
Ints10_3	Ints10	2202	1844
G2e3_4	G2e3	5668	4245
Pip5k1a_2	Pip5k1a	3892	3023
Palm_3	Palm	5254	4176
Pisd_4	Pisd	1128	960
Zkscan1_4	Zkscan1	5259	4272
Nhej1_1	Nhej1	3612	1463
Sstr5_5	Sstr5	4308	3494
Ilk_2	Ilk	1902	1484
Rai1_2	Rai1	6606	5018
Rbpj_1	Rbpj	163	230
Zfp703_4	Zfp703	8945	8530
Poli_1	Poli	7207	5778
Mtmr3_2	Mtmr3	2906	2085
Scn4b_5	Scn4b	2541	2303
Atad3a_4	Atad3a	1100	919
Sf3b5_4	Sf3b5	867	909
Dido1_3	Dido1	1864	1761
Ssh1_1	Ssh1	2131	2156
Ate1_2	Ate1	3423	2629
Ppp1cb_1	Ppp1cb	791	881
Scaf8_4	Scaf8	1934	1451
Mynn_2	Mynn	6175	5464
Dek_3	Dek	7893	7283
Trim68_2	Trim68	8855	7997
Drd3_5	Drd3	2424	2269
Il2ra_5	Il2ra	6301	5564
Fam209_1	Fam209	3311	2828
Gabrr1_3	Gabrr1	2827	2797
Pum2_4	Pum2	2047	1698
Spo11_2	Spo11	4908	4231
Erbb2_1	Erbb2	10507	9087
Plekho1_1	Plekho1	6830	5139
Dag1_4	Dag1	4524	4472
Gmnc_1	Gmnc	2804	2509
Ttf2_1	Ttf2	702	543
Gen1_1	Gen1	1441	1166
Zscan20_3	Zscan20	4329	3577
Ddx23_4	Ddx23	1198	1219
Gdnf_4	Gdnf	592	585
Actl6b_2	Actl6b	1363	1008
Avpr2_1	Avpr2	3823	3348
Rfx5_2	Rfx5	2558	2238
Dyrk1b_3	Dyrk1b	7550	5826
Ddx54_4	Ddx54	986	754
Ramp1_3	Ramp1	4795	4560
Wdyhv1_2	Wdyhv1	6240	5102
Trim32_3	Trim32	6640	5565
Gabra2_4	Gabra2	8099	6494
Pdcd7_3	Pdcd7	1163	1090
Fem1b_1	Fem1b	2174	2005
Bcl6b_3	Bcl6b	3233	2770
Nelfe_1	Nelfe	2859	2315
Bok_1	Bok	4832	4041
